EAN;DESCRIPCION;CLASIFICACION;CATEGORIA;PLATAFORMA;PUBLISHER
711719053323;PS4 CON Bundle 500GB Fifa 15 (1) w/Fifa15Virtual;OBSOLETO;Consola;PS4;SCEA
711719053354;PS3 CON Bundle 500GB Fifa 15 (1) w/DS3Fifa15;OBSOLETO;Consola;PS3;SCEA
711719100355;PS4 500GB (CUH-1011A) - LATAM;OBSOLETO;Consola;PS4;SCEA
711719100423;PLAYSTATION CAMERA - LATAM PS4;OBSOLETO;Accesorio;PS4;SCEA
711719100485;PS4 JGO Killzone 4;OBSOLETO;Juego;PS4;SCEA
711719100508;PS4 JGO Knack;OBSOLETO;Juego;PS4;SCEA
711719470014;PS3 JGO Diablo III Reaper of Souls;OBSOLETO;Juego;PS3;SCEA
711719500056;PS3 JGO Counterspy;OBSOLETO;Juego;PS3;SCEA
711719500063;PS3 JGO Hohokum;OBSOLETO;Juego;PS3;SCEA
711719500087;PS3 JGO Rain;OBSOLETO;Juego;PS3;SCEA
711719500094;PS3 JGO Dead Nation;OBSOLETO;Juego;PS3;SCEA
711719500117;PS3 JGO Sound Shapes;OBSOLETO;Juego;PS3;SCEA
711719500278;THE EVIL WITHIN - ROLA  PS4;OBSOLETO;Juego;PS4;SCEA
711719500292;THE EVIL WITHIN - ROLA  PS3;OBSOLETO;Juego;PS3;SCEA
711719500575;PRO EVOLUTION SOCCER 2015 - LATAM  PS4;OBSOLETO;Juego;PS4;SCEA
711719500599;PRO EVOLUTION SOCCER 2015 - LATAM  PS3;OBSOLETO;Juego;PS3;SCEA
711719502661;PS3 500GB (CECH-4311C) BNDL - DS3- TLOU- GOW ASC. - CHILE;OBSOLETO;Consola;PS3;SCEA
711719503071;PS4 500GB (CUH-1215A) BNDL - DESTINY THE TAKEN KING- CHILE;OBSOLETO;Consola;PS4;SCEA
711719804802;PS3 ACC Wireless Keypad (CECHZK1MX);OBSOLETO;Accesorio;PS3;SCEA
711719806103;PS3 ACC Move Motion Controller  Black;OBSOLETO;Accesorio;PS3;SCEA
711719806202;PS3 ACC Move Navigation Controller - Black;OBSOLETO;Accesorio;PS3;SCEA
711719806806;PS3 ACC Charging Station PlayStation Move (CECHZCC1M);OBSOLETO;Accesorio;PS3;SCEA
711719810001;PS3 ACC Sharp shooter - Advanced Gun Attachment (CECHYAZRA1);OBSOLETO;Accesorio;PS3;SCEA
711719810728;PS3 JGO Resistance: Fall of Man;OBSOLETO;Juego;PS3;SCEA
711719811527;PS3 JGO Hot Shots Golf;OBSOLETO;Juego;PS3;SCEA
711719812029;PS3 JGO Resistance 2;OBSOLETO;Juego;PS3;SCEA
711719814528;PS3 JGO Buzz Quiz TV Bundle w/BuzzQuizTVWirelessBuzzer;OBSOLETO;Juego;PS3;SCEA
711719815525;PS3 JGO Motorstorm Pacific Rift;OBSOLETO;Juego;PS3;SCEA
711719817628;PS3 JGO Favoritos  Resistance 3 ;OBSOLETO;Juego;PS3;SCEA
711719818120;PS3 JGO Starhawk;OBSOLETO;Juego;PS3;SCEA
711719820321;PS3 JGO Sorcery;OBSOLETO;Juego;PS3;SCEA
711719822226;PS3 JGO The Shoot;OBSOLETO;Juego;PS3;SCEA
711719823520;PS3 JGO Eye Pet & Friends;OBSOLETO;Juego;PS3;SCEA
711719824527;PS3 JGO Little Big Planet 2;OBSOLETO;Juego;PS3;SCEA
711719824824;PS3 JGO PlayStation Heroes;OBSOLETO;Juego;PS3;SCEA
711719825722;PS3 JGO Uncharted 2: Among Thieves;OBSOLETO;Juego;PS3;SCEA
711719827023;PS3 JGO Kun Fu Rider;OBSOLETO;Juego;PS3;SCEA
