CODIGO,DEALER,TIENDAS,ZONA,TIPO TIENDA,CORREO INSTRUCTOR,NOMBRE INSTRUCTOR,CORREO SUPERVISOR,NOMBRE SUPERVISOR,CORREO PROMOTOR 1,CORREO PROMOTOR 1
955,CONECTA RETAIL,CURACAO PACASMAYO,Sin Zona,C,,,,,,
14,CONECTA RETAIL,CURACAO PAITA,Sin Zona,B,,,,,,
956,CONECTA RETAIL,CURACAO PASCO,Sin Zona,B,,,,,,
66,CONECTA RETAIL,CURACAO PISCO,Sin Zona,B,,,,,,
870,CONECTA RETAIL,CURACAO PIURA 2,Zona 6,C,,,,,,
CH03,CONECTA RETAIL,CURACAO PIURA I,Sin Zona,C,,,,,,
98,CONECTA RETAIL,CURACAO PUCALLPA,Sin Zona,B,,,,,,
520,CONECTA RETAIL,CURACAO PUERTO MALDONADO,Sin Zona,B,,,,,,
510,CONECTA RETAIL,CURACAO PUNO,Sin Zona,B,,,,,,
185,CONECTA RETAIL,CURACAO QUILLABAMBA,Sin Zona,B,,,,,,
983,CONECTA RETAIL,CURACAO SALAVERRY,Sin Zona,B,,,,,,
551,CONECTA RETAIL,CURACAO SAN JUAN DE LURIGANCHO,Zona 7,B,,,,,,
530,CONECTA RETAIL,CURACAO SAN JUAN DE MIRAFLORES,Sin Zona,B,,,,,,
891,CONECTA RETAIL,CURACAO SAN MARTIN DE PORRES,Sin Zona,C,,,,,,
944,CONECTA RETAIL,CURACAO SATIPO,Sin Zona,B,,,,,,
13,CONECTA RETAIL,CURACAO SULLANA,Zona 6,B,,,,,,
872,CONECTA RETAIL,CURACAO TACNA,Sin Zona,C,,,,,,
420,CONECTA RETAIL,CURACAO TALARA,Sin Zona,B,,,,,,
960,CONECTA RETAIL,CURACAO TAMBOGRANDE,Sin Zona,B,,,,,,
570,CONECTA RETAIL,CURACAO TARAPOTO,Sin Zona,B,,,,,,
44,CONECTA RETAIL,CURACAO TARMA,Sin Zona,B,,,,,,
952,CONECTA RETAIL,CURACAO TINGO MARIA,Sin Zona,C,,,,,,
961,CONECTA RETAIL,CURACAO TOCACHE,Sin Zona,C,,,,,,
923,CONECTA RETAIL,CURACAO TRUJILLO I,Zona 6,A,,,,,,
132,CONECTA RETAIL,CURACAO TRUJILLO II,Sin Zona,B,,,,,,
11,CONECTA RETAIL,CURACAO TUMBES,Sin Zona,B,,,,,,
620,CONECTA RETAIL,CURACAO VILLA EL SALVADOR,Zona 7,C,,,,,,
898,CONECTA RETAIL,CURACAO VILLA MARIA DEL TRIUNFO,Zona 4,C,,,,,,
948,CONECTA RETAIL,CURACAO VIRU,Sin Zona,C,,,,,,
97,CONECTA RETAIL,CURACAO YURIMAGUAS,Sin Zona,B,,,,,,
708,CONECTA RETAIL,EFE ABANCAY,Sin Zona,C,,,,,,
506,CONECTA RETAIL,EFE ANDAHUAYLAS,Sin Zona,C,,,,,,
80,CONECTA RETAIL,EFE AREQUIPA I,Zona 5,B,,,,,,
95,CONECTA RETAIL,EFE AREQUIPA II,Zona 5,B,,,,,,
92,CONECTA RETAIL,EFE AREQUIPA III,Zona 5,B,,,,,,
700,CONECTA RETAIL,EFE AREQUIPA IV,Zona 5,B,,,,,,
703,CONECTA RETAIL,EFE ATE 2,Zona 7,B,,,,,,
---,CONECTA RETAIL,EFE ATE VITARTE,Sin Zona,C,,,,,,
42,CONECTA RETAIL,EFE AYACUCHO,Sin Zona,B,,,,,,
701,CONECTA RETAIL,EFE BAMBAMARCA,Sin Zona,C,,,,,,
565,CONECTA RETAIL,EFE BARRANCA,Sin Zona,C,,,,,,
529,CONECTA RETAIL,EFE CÁCERES,Zona 7,B,,,,,,
558,CONECTA RETAIL,EFE CAJABAMBA,Sin Zona,C,,,,,,
22,CONECTA RETAIL,EFE CAJAMARCA I,Zona 6,B,,,,,,
430,CONECTA RETAIL,EFE CAJAMARCA II,Sin Zona,C,,,,,,
77,CONECTA RETAIL,EFE CAMANÁ,Sin Zona,C,,,,,,
57,CONECTA RETAIL,EFE CAÑETE,Sin Zona,C,,,,,,
503,CONECTA RETAIL,EFE CARABAYLLO,Zona 1,C,,,,,,
454,CONECTA RETAIL,EFE CASA GRANDE,Sin Zona,C,,,,,,
480,CONECTA RETAIL,EFE CERRO DE PASCO,Sin Zona,B,,,,,,
460,CONECTA RETAIL,EFE CHEPÉN,Sin Zona,C,,,,,,
20,CONECTA RETAIL,EFE CHICLAYO I,Zona 6,B,,,,,,
121,CONECTA RETAIL,EFE CHICLAYO II,Zona 6,C,,,,,,
221,CONECTA RETAIL,EFE CHICLAYO IV,Sin Zona,C,,,,,,
39,CONECTA RETAIL,EFE CHIMBOTE,Zona 6,B,,,,,,
523,CONECTA RETAIL,EFE CHIMBOTE II,Sin Zona,C,,,,,,
61,CONECTA RETAIL,EFE CHINCHA,Sin Zona,C,,,,,,
---,CONECTA RETAIL,EFE CHOCOPE,Sin Zona,C,,,,,,
588,CONECTA RETAIL,EFE CHOSICA,Zona 7,B,,,,,,
213,CONECTA RETAIL,EFE CHULUCANAS,Sin Zona,C,,,,,,
562,CONECTA RETAIL,EFE COMAS,Zona 1,C,,,,,,
58,CONECTA RETAIL,EFE COMAS 2,Sin Zona,B,,,,,,
82,CONECTA RETAIL,EFE CUZCO I,Sin Zona,A,,,,,,
83,CONECTA RETAIL,EFE CUZCO II,Sin Zona,C,,,,,,
709,CONECTA RETAIL,EFE CUZCO III,Sin Zona,C,,,,,,
440,CONECTA RETAIL,EFE HUACHO,Sin Zona,B,,,,,,
135,CONECTA RETAIL,EFE HUAMACHUCO,Sin Zona,B,,,,,,
40,CONECTA RETAIL,EFE HUANCAYO I,Zona 7,A,,,,,,
400,CONECTA RETAIL,EFE HUANCAYO II,Zona 7,B,,,,,,
161,CONECTA RETAIL,EFE HUANTA,Sin Zona,C,,,,,,
49,CONECTA RETAIL,EFE HUÁNUCO,Sin Zona,B,,,,,,
490,CONECTA RETAIL,EFE HUARAL,Sin Zona,B,,,,,,
34,CONECTA RETAIL,EFE HUARAZ,Sin Zona,B,,,,,,
537,CONECTA RETAIL,EFE HUÁSCAR,Zona 7,B,,,,,,
615,CONECTA RETAIL,EFE HUAYCÁN,Zona 7,B,,,,,,
60,CONECTA RETAIL,EFE ICA,Zona 7,B,,,,,,
500,CONECTA RETAIL,EFE ILO,Sin Zona,C,,,,,,
96,CONECTA RETAIL,EFE IQUITOS I,Sin Zona,C,,,,,,
101,CONECTA RETAIL,EFE IQUITOS II,Sin Zona,C,,,,,,
28,CONECTA RETAIL,EFE JAÉN,Sin Zona,C,,,,,,
416,CONECTA RETAIL,EFE JUANJUI,Sin Zona,C,,,,,,
110,CONECTA RETAIL,EFE JULIACA,Sin Zona,B,,,,,,
76,CONECTA RETAIL,EFE LA MERCED,Sin Zona,B,,,,,,
210,CONECTA RETAIL,EFE LA UNIÓN,Sin Zona,C,,,,,,
525,CONECTA RETAIL,EFE LURÍN,Zona 7,B,,,,,,
168,CONECTA RETAIL,EFE MOQUEGUA,Sin Zona,C,,,,,,
0,CONECTA RETAIL,EFE MOSHOQUEQUE,Sin Zona,C,,,,,,
224,CONECTA RETAIL,EFE MOTUPE,Sin Zona,C,,,,,,
410,CONECTA RETAIL,EFE MOYOBAMBA,Sin Zona,C,,,,,,
470,CONECTA RETAIL,EFE NAZCA,Sin Zona,B,,,,,,
508,CONECTA RETAIL,EFE PACHACUTEC,Sin Zona,C,,,,,,
14,CONECTA RETAIL,EFE PAITA,Sin Zona,B,,,,,,
66,CONECTA RETAIL,EFE PISCO,Sin Zona,B,,,,,,
10,CONECTA RETAIL,EFE PIURA,Zona 6,B,,,,,,
556,CONECTA RETAIL,EFE PRO,Zona 1,B,,,,,,
556,CONECTA RETAIL,EFE PROVIVIENDA,Sin Zona,C,,,,,,
98,CONECTA RETAIL,EFE PUCALLPA,Sin Zona,C,,,,,,
512,CONECTA RETAIL,EFE PUENTE PIEDRA,Zona 1,B,,,,,,
520,CONECTA RETAIL,EFE PUERTO MALDONADO,Sin Zona,B,,,,,,
510,CONECTA RETAIL,EFE PUNO,Sin Zona,B,,,,,,
185,CONECTA RETAIL,EFE QUILLABAMBA,Sin Zona,B,,,,,,
551,CONECTA RETAIL,EFE SAN JUAN DE LURIGANCHO,Zona 7,B,,,,,,
530,CONECTA RETAIL,EFE SAN JUAN DE MIRAFLORES,Zona 4,B,,,,,,
603,CONECTA RETAIL,EFE SAN MARTÍN,Zona 1,B,,,,,,
13,CONECTA RETAIL,EFE SULLANA,Zona 6,B,,,,,,
872,CONECTA RETAIL,EFE TACNA,Sin Zona,C,,,,,,
420,CONECTA RETAIL,EFE TALARA,Sin Zona,B,,,,,,
702,CONECTA RETAIL,EFE TAMBOGRANDE PIURA,Sin Zona,C,,,,,,
570,CONECTA RETAIL,EFE TARAPOTO,Sin Zona,B,,,,,,
44,CONECTA RETAIL,EFE TARMA,Sin Zona,B,,,,,,
89,CONECTA RETAIL,EFE TINGO MARÍA,Sin Zona,B,,,,,,
132,CONECTA RETAIL,EFE TRUJILLO 2 SANCHEZ,Sin Zona,B,,,,,,
30,CONECTA RETAIL,EFE TRUJILLO I,Zona 6,A,,,,,,
625,CONECTA RETAIL,EFE TRUJILLO III,Sin Zona,C,,,,,,
11,CONECTA RETAIL,EFE TUMBES,Zona 6,B,,,,,,
581,CONECTA RETAIL,EFE VENTANILLA,Zona 1,A,,,,,,
620,CONECTA RETAIL,EFE VILLA EL SALVADOR,Zona 7,B,,,,,,
180,CONECTA RETAIL,EFE VILLA MARÍA DEL TRIUNFO,Zona 4,B,,,,,,
331,CONECTA RETAIL,EFE VIRÚ,Sin Zona,C,,,,,,
97,CONECTA RETAIL,EFE YURIMAGUAS,Sin Zona,B,,,,,,
610,CONECTA RETAIL,EFE ZÁRATE,Sin Zona,B,,,,,,
I001,CREDIVARGAS,CREDIVARGAS IQUITOS,Sin Zona,C,,,,,,
P001,CREDIVARGAS,CREDIVARGAS PUCALLPA,Sin Zona,B,,,,,,
T001,CREDIVARGAS,CREDIVARGAS TARAPOTO,Sin Zona,C,,,,,,
Y001,CREDIVARGAS,CREDIVARGAS YURIMAGUAS,Sin Zona,C,,,,,,
527803,ELEKTRA,ELEKTRA AREQUIPA LA NEGRITA,Zona 5,B,,,,,,
529629,ELEKTRA,ELEKTRA ATE,Zona 7,B,,,,,,
528012,ELEKTRA,ELEKTRA AYACUCHO,Sin Zona,C,,,,,,
522245,ELEKTRA,ELEKTRA BARRANCA,Sin Zona,B,,,,,,
527919,ELEKTRA,ELEKTRA BREÑA,Sin Zona,C,,,,,,
523826,ELEKTRA,ELEKTRA CAJAMARCA,Sin Zona,C,,,,,,
---,ELEKTRA,ELEKTRA CALLAO,Sin Zona,C,,,,,,
529865,ELEKTRA,ELEKTRA CANTO GRANDE,Sin Zona,B,,,,,,
522243,ELEKTRA,ELEKTRA CAÑETE,Sin Zona,C,,,,,,
528016,ELEKTRA,ELEKTRA CAÑETE IMPERIAL,Sin Zona,C,,,,,,
525992,ELEKTRA,ELEKTRA CARABAYLLO,Sin Zona,C,,,,,,
525990,ELEKTRA,ELEKTRA CASMA,Sin Zona,B,,,,,,
525983,ELEKTRA,ELEKTRA CHEPEN,Sin Zona,C,,,,,,
524281,ELEKTRA,ELEKTRA CHICLAYO BALTA,Zona 6,C,,,,,,
524271,ELEKTRA,ELEKTRA CHICLAYO I,Sin Zona,C,,,,,,
524272,ELEKTRA,ELEKTRA CHIMBOTE,Sin Zona,C,,,,,,
529713,ELEKTRA,ELEKTRA CHINCHA,Sin Zona,B,,,,,,
527841,ELEKTRA,ELEKTRA CHORRILLOS,Sin Zona,B,,,,,,
529836,ELEKTRA,ELEKTRA CHOSICA,Zona 7,C,,,,,,
527802,ELEKTRA,ELEKTRA CHULUCANAS,Sin Zona,C,,,,,,
527883,ELEKTRA,ELEKTRA COMAS,Zona 1,B,,,,,,
524299,ELEKTRA,ELEKTRA CUZCO,Sin Zona,B,,,,,,
529519,ELEKTRA,ELEKTRA EL AGUSTINO,Zona 3,B,,,,,,
524275,ELEKTRA,ELEKTRA GRAU PIURA,Zona 6,B,,,,,,
529467,ELEKTRA,ELEKTRA HUACHO,Sin Zona,B,,,,,,
