EAN;DESCRIPCION;CLASIFICACION;CATEGORIA;PLATAFORMA;Publisher
47875877948;WORLD OF WARCRAFT LEGION PC;PC;Software;PC;ACTIVISION
711719503507;PS4 Horizon Zero Dawn - LATAM;PS4;Software;PS4;SCEA
711719502814;PS4 GT Sport - LATAM;PS4;Software;PS4;SCEA
711719503422;PS4 The Last Guardian - LATAM;PS4;Software;PS4;SCEA
711719503767;PS4 Uncharted 4 - LATAM NFR;PS4;NFR Software;PS4;SCEA
711719506249;PS4 FIFA 2017 - LATAM - NFR;PS4;NFR Software;PS4;SCEA
884095175191;PS4 500GB BUNDLE SERDAN v.2;PS4;Hardware;PS4;SCEA
884095175184;PS3 500GB BUNDLE SERDAN v.1;PS3;Hardware;PS3;SCEA
93155171398;THE ELDER SCROLLS ONLINE: GOLD EDITION PS4;PS4;Software;PS4;BETHESDA
93155171381;THE ELDER SCROLLS ONLINE: GOLD EDITION XBONE;XBONE;Software;XBONE;BETHESDA
722674121002;PROJECT CARS COMPLETE EDITION - LATAM PS4;PS4;Software;PS4;BANDAI NAMCO
884095175177;PS4 500GB UNCHARTED COLL BNDL+ DS4 BLACK - AGO ALK;PS4;Hardware;PS4;SCEA
83717203148;METAL GEAR SOLID V THE DEFINITIVE EXPERIENCE - LATAM PS4;PS4;Software;PS4;KONAMI
83717302223;METAL GEAR SOLID V THE DEFINITIVE EXPERIENCE - LATAM XBONE;XBONE;Software;XBONE;KONAMI
83717203162;PRO EVOLUTION 2017 - LATAM PS4;PS4;Software;PS4;KONAMI
83717302247;PRO EVOLUTION 2017 - LATAM XBONE;XBONE;Software;XBONE;KONAMI
83717203186;PRO EVOLUTION 2017 - LATAM PS3;PS3;Software;PS3;KONAMI
83717302278;PRO EVOLUTION 2017 - LATAM XB360;XB360;Software;XB360;KONAMI
884095174132;PS3 500GB HW Bundle (CECH-4311C) + DS3 + 5 Games;PS3;Hardware;PS3;SCEA
93155171442;SKYRIM: SPECIAL EDITION PS4;PS4;Software;PS4;BETHESDA
93155171435;SKYRIM: SPECIAL EDITION XBONE;XBONE;Software;XBONE;BETHESDA
722674120951;GOD EATER 2: RAGE BURST DAY 1 EDITION;PS4;Software;PS4;BANDAI NAMCO
47875874367;CALL OF DUTY BLACK OPS 1&2 COMBO - FIRST STRIKE MAP - PS3;PS3;Software;PS3;ACTIVISION
